BCP-47	docs (noisy)	docs (clean)	sents (noisy)	sents (clean)	toks (noisy)	toks (clean)	chars (noisy)	chars (clean)	clean	noisy
ve	3.8K	1.9K	97.8K	79.4K	3.2M	2.1M	19M	11.7M	3.8 M	6.2 M
zap	5.5K	1.8K	202.3K	93.5K	4.2M	1.8M	26.4M	11.4M	4.0 M	9.6 M
zxx_xx_dtynoise	118.8K	1.8K	3.8M	49.3K	118.8K	1.8K	501K	6.6K	3.9 M	367.0 M
meu	5.9K	1.7K	232.1K	72.6K	4.2M	1.4M	27.2M	8.6M	2.6 M	9.1 M
iso	3.7K	1.7K	155.8K	111.5K	4.4M	2.7M	23M	13.7M	4.9 M	8.1 M
ium	100.3K	1.7K	6.2M	54.9K	48.4M	1.7M	314M	7.4M	2.6 M	124.0 M
nhe	3K	1.7K	3K	57.7K	1.9M	1.2M	15.6M	9.8M	2.7 M	4.8 M
tyz	8K	1.7K	454.8K	104.6K	7.5M	1.9M	46.3M	11.3M	3.8 M	16.0 M
hui	2K	1.7K	80.1K	74.7K	1.8M	1.7M	11.8M	10.9M	3.0 M	3.3 M
new	6.6K	1.6K	6.6K	85K	3.2M	1.4M	21.2M	8.8M	4.4 M	10.6 M
mdf	71K	1.6K	394.7K	45.1K	8.3M	670.1K	65.8M	5.5M	2.5 M	26.7 M
pag	49.6K	1.6K	49.6K	88.8K	13.8M	1.9M	92.9M	12M	3.9 M	29.2 M
gv	501.9K	1.6K	18.8M	26.9K	137.7M	996.2K	933.1M	6.2M	2.0 M	318.6 M
gag	33.9K	1.6K	491K	37K	10.2M	661K	84.9M	5.2M	2.1 M	32.6 M
ngu	3.8K	1.5K	3.8K	87.1K	2.7M	1.5M	21.4M	11.8M	3.6 M	6.7 M
quc	4.4K	1.5K	89.2K	41.2K	2.8M	1.1M	16.6M	6.4M	2.2 M	5.9 M
mam	23K	1.5K	446.3K	52.9K	9.8M	1.2M	70.4M	7.2M	2.6 M	30.7 M
min	28.2K	1.5K	500.9K	75.6K	10.2M	1.4M	70.5M	9.9M	2.6 M	21.1 M
ho	2K	1.5K	57K	47.8K	1.8M	1.3M	12.3M	7.8M	1.9 M	3.1 M
pon	5.7K	1.5K	167.8K	48.7K	3M	1.1M	18.3M	6.7M	2.1 M	6.1 M
mrj	97.1K	1.4K	97.1K	60.3K	14.5M	1.1M	100.6M	7.6M	3.6 M	40.8 M
lu	10.6K	1.4K	316K	112.1K	7.8M	2.3M	54.2M	15.4M	4.8 M	18.0 M
gom_Latn	231.1K	1.4K	4.1M	77.9K	231.1K	1.4K	1M	5.1K	3.6 M	240.6 M
alt	2.6K	1.4K	110.1K	65.9K	1.8M	1.1M	14.3M	8.7M	3.8 M	6.4 M
nzi	2.5K	1.4K	2.5K	71.8K	2.5M	1.7M	14.4M	9.4M	3.1 M	4.8 M
tzo	2.8K	1.4K	100.4K	75.7K	2.5M	1.7M	15.9M	10.6M	3.2 M	4.9 M
bci	7.4K	1.3K	124.8K	87.1K	5M	1.9M	32.8M	9M	3.1 M	9.4 M
dtp	4.6K	1.3K	51.2K	7.9K	1.9M	419.4K	12.7M	3M	1013.9 K	4.5 M
abt	1.6K	1.3K	122.7K	110.3K	1.5M	1.3M	9.6M	8.2M	2.2 M	2.7 M
bbc	72.3K	1.3K	718.3K	73.2K	21.7M	1.7M	151.3M	10.6M	3.6 M	47.9 M
pck	8.9K	1.3K	8.9K	69.7K	6.8M	2.1M	39.8M	11.5M	4.2 M	14.2 M
mai	54.3K	1.2K	1M	60.2K	24.6M	1.2M	156M	6.8M	3.6 M	67.1 M
mps	2.7K	1.2K	132.8K	71.9K	2.8M	1.6M	16M	8.7M	2.3 M	4.8 M
emp	3.6K	1.2K	106.4K	75.4K	1.9M	999.1K	14.5M	7.4M	2.4 M	4.9 M
mgh	5.5K	1.2K	151.8K	61.2K	2.8M	1.1M	24.1M	8.2M	2.8 M	8.3 M
tab	7.8K	1.2K	226.4K	26.8K	4.3M	538.9K	33.7M	4.4M	1.9 M	15.7 M
crh	5.1K	1.2K	170.9K	61.8K	2.4M	943K	18.8M	7.5M	3.4 M	8.9 M
tbz	5.1K	1.1K	128.7K	37.5K	3.5M	893.4K	22M	4.8M	1.9 M	10.2 M
ss	8.1K	1.1K	8.1K	30.4K	2.7M	568.3K	23.7M	5.5M	1.8 M	7.4 M
chk	2.8K	1.1K	98.8K	44K	2M	1M	12M	5.8M	1.8 M	4.0 M
bru	3K	1.1K	89.7K	48.2K	2.4M	938.1K	12.9M	4.8M	1.5 M	4.5 M
nnb	4.9K	1.1K	4.9K	70.2K	3.2M	1.2M	27.7M	9.1M	3.3 M	10.0 M
fon	5.3K	1.1K	222.9K	67.3K	6.9M	1.8M	34M	8.3M	3.1 M	14.8 M
ppk	2.6K	1.1K	85.8K	34.9K	1.9M	801.8K	13.2M	5.5M	1.6 M	4.3 M
tiv	3.8K	1.1K	3.8K	80.7K	3.7M	2.1M	20.4M	10.2M	3.2 M	6.0 M
btx	3.1K	1K	81.7K	43.9K	2M	907.5K	13.1M	5.9M	2.0 M	4.6 M
bg_Latn	200.4K	991	2.8M	25.5K	200.4K	991	927.1K	3.7K	1.7 M	143.6 M
mbt	1.6K	969	86K	45.4K	2.4M	1.3M	14.6M	7.5M	2.2 M	5.1 M
ace	65.5K	966	632.5K	32.5K	19.9M	1.1M	146.1M	7.4M	2.2 M	42.3 M
tvl	2.3K	933	72.9K	53.6K	2.5M	1.7M	12.6M	8.1M	2.4 M	3.8 M
dov	3.5K	923	129.8K	56.7K	2.6M	967.5K	20.7M	8M	2.6 M	7.1 M
ach	2K	915	63K	40.1K	1.6M	890.9K	9M	4.7M	1.6 M	3.0 M
xal	71.8K	913	498.5K	30.8K	8.5M	449.8K	64.7M	3.2M	1.5 M	24.4 M
cuk	4.1K	899	76.5K	34.3K	2M	469.9K	24.7M	4.6M	1.5 M	6.1 M
kos	2.2K	881	44.6K	27.8K	1.1M	780.1K	6.5M	4.2M	1.4 M	2.2 M
crs	7.6K	873	282.4K	40.1K	7.3M	1.2M	40.1M	6.8M	2.2 M	13.2 M
wo	36.4K	871	303.4K	25.4K	30.7M	850.7K	213.4M	4.5M	1.7 M	59.9 M
bts	3.2K	869	109.1K	29.1K	3.1M	663.3K	20.8M	4.2M	1.4 M	6.2 M
ubu	2.2K	846	113.5K	47.5K	2.3M	996.4K	15.9M	6.7M	1.9 M	4.7 M
gym	1.5K	820	73.7K	49.6K	1.6M	1.1M	10.3M	6.9M	2.0 M	3.2 M
ibb	74.1K	818	516.5K	36.3K	26.4M	776.1K	190.9M	4.9M	1.5 M	56.0 M
ape	7K	814	147K	56.1K	12.4M	881.5K	71M	5.8M	1.6 M	18.8 M
stq	111.9K	809	111.9K	27.7K	34.4M	600.4K	243.1M	3.8M	1.5 M	82.5 M
ang	66.5K	803	1.8M	86.7K	28.5M	1.7M	193M	9.8M	3.4 M	67.1 M
enq	7.1K	793	241.9K	39.1K	11M	718.8K	68.5M	4.8M	1.3 M	18.8 M
tsg	353.8K	789	353.8K	17.9K	158M	588.9K	1.1B	3.8M	1.0 M	309.9 M
shn	889	788	46.4K	46.2K	383.8K	378.5K	5.7M	5.7M	2.6 M	2.6 M
kri	39.1K	786	271.2K	38.8K	12.6M	995.2K	86.4M	5M	1.6 M	20.9 M
kek	3.2K	782	70.4K	38.4K	1.8M	709K	13.6M	4.4M	1.4 M	4.7 M
rmc	2.4K	738	2.4K	25.8K	1.3M	545.4K	7.9M	3.2M	1.1 M	2.9 M
acf	4.9K	730	81.9K	24.6K	2.1M	602.2K	11.6M	3M	1.1 M	4.7 M
fip	3.7K	729	165.6K	49K	3.5M	916.8K	25.7M	6.6M	2.1 M	8.6 M
syr	3.5K	716	326.4K	197.1K	4.6M	1.9M	31.5M	14M	6.1 M	13.9 M
qub	972	705	61K	51.1K	589.2K	455.5K	5.9M	4.4M	1.4 M	1.8 M
bm	21.9K	702	172.3K	24.5K	7.1M	583.1K	48.4M	3M	1.1 M	14.4 M
tzh	1.7K	702	41.7K	33.9K	1.5M	929.6K	9.3M	5.6M	1.6 M	2.6 M
jiv	1.7K	696	80.9K	32K	1.1M	418.9K	9.6M	3.5M	1.1 M	3.3 M
kn_Latn	72.9K	688	765.9K	10.1K	72.9K	688	328.1K	2.5K	430.8 K	61.4 M
kjh	1.5K	672	42.8K	28.7K	566.1K	379.2K	4.5M	3.1M	1.3 M	2.0 M
yap	1.9K	638	37.6K	19.5K	1.3M	661.4K	6.9M	3.3M	1.0 M	2.2 M
ban	8K	637	150.9K	16.3K	5M	499.7K	35.4M	3.6M	1.1 M	12.0 M
tuc	3.5K	635	193.2K	50.3K	2.9M	703K	17.2M	4.1M	1.2 M	5.7 M
tcy	10.7K	632	338.7K	37.1K	5.5M	432.6K	41.6M	3.3M	1.7 M	20.9 M
cab	1.2K	629	50.4K	37.5K	1M	690.9K	7.5M	5.1M	1.6 M	2.4 M
cak	1.2K	617	70.4K	32.6K	1.3M	730.1K	7.6M	4.2M	1.3 M	2.4 M
din	128.4K	611	885.8K	23.6K	31.6M	541.7K	210M	2.9M	1.1 M	64.3 M
zh_Latn	739.4K	602	10.7M	45.1K	739.4K	602	3.4M	2.3K	2.0 M	969.9 M
arn	2.4K	593	64.5K	26.2K	1.5M	541.9K	10.2M	3.7M	1.2 M	3.7 M
lrc	42.4K	587	351.9K	9K	17.3M	248.9K	85.3M	1.4M	646.9 K	37.5 M
rwo	938	572	938	45.5K	734.8K	590.4K	5.1M	4.2M	1.1 M	1.4 M
hus	825	569	26.5K	23.7K	733.4K	542.1K	4.4M	3.1M	967.6 K	1.3 M
bum	4.7K	559	103.8K	36.5K	3M	805.5K	18.8M	4M	1.3 M	6.1 M
mak	1K	555	32.5K	20.4K	761K	457.4K	6.1M	3.7M	1.1 M	2.0 M
frp	148K	550	3.5M	8.2K	71.2M	230.2K	535.4M	1.4M	518.3 K	129.7 M
seh	5.6K	545	68.8K	37.2K	2M	650.6K	14.9M	4.9M	1.5 M	4.4 M
twu	2.5K	539	109.9K	24.4K	2.4M	571.2K	14.2M	3.2M	1.0 M	4.8 M
kmb	1.3K	538	60.4K	36.9K	1.4M	810.8K	8.4M	4.6M	1.4 M	2.6 M
ksw	560	536	16.1K	16K	219.9K	218.8K	2.9M	2.9M	1.4 M	1.4 M
sja	1.3K	527	67.7K	24.9K	982.5K	459.3K	7.7M	3.4M	1.1 M	2.6 M
amu	1.8K	511	72K	25.2K	1.5M	443.3K	9.6M	3.2M	1.0 M	3.4 M
mad	103.8K	509	500.6K	18.5K	16.2M	386.7K	111.8M	2.8M	960.3 K	34.2 M
quh	1K	501	42K	29.9K	624.4K	396.8K	5.8M	3.7M	1.2 M	1.8 M
dyu	1.2K	483	55.8K	19.7K	1.2M	421.8K	5.7M	2M	665.5 K	1.9 M
toj	736	452	736	26.1K	691.2K	540.2K	4.3M	3.3M	1.0 M	1.3 M
ch	12.9K	449	147.5K	16K	8.9M	393.9K	63.5M	2.5M	906.8 K	10.0 M
sus	664	437	664	15.2K	648K	402.8K	3.7M	2.1M	674.0 K	1.0 M
nog	970	419	970	11K	330.3K	200.4K	2.6M	1.6M	714.0 K	1.2 M
jam	12.7K	416	68.5K	15.8K	3.5M	378.4K	25.8M	1.7M	609.5 K	7.6 M
gui	1.1K	409	62.7K	24.8K	915K	314K	6.5M	2M	619.3 K	2.1 M
nia	2K	408	2K	25K	1.7M	476.5K	11.3M	3.1M	1.0 M	3.9 M
mas	15.2K	405	216.8K	17.6K	6.2M	390.1K	42.1M	3M	927.5 K	13.4 M
bzj	983	404	33.6K	26.4K	824.3K	565K	4.5M	2.9M	981.2 K	1.4 M
mkn	956	402	33.1K	25.4K	584.2K	456.9K	3.4M	2.6M	734.8 K	1.0 M
lhu	46K	377	975K	15.7K	29.1M	441.2K	208.6M	2.5M	623.0 K	38.8 M
ctu	690	366	35.5K	20.6K	646.7K	352.8K	3.6M	2M	614.9 K	1.2 M
kg	4.7K	365	85.5K	21.7K	2.5M	406.7K	16.6M	2.6M	905.4 K	5.7 M
inb	387	343	17.3K	17K	202.8K	197K	2M	1.9M	535.2 K	555.6 K
guh	1.9K	331	104.9K	28.4K	1.5M	328.4K	11.2M	3M	789.5 K	3.5 M
rn	8.2K	323	8.2K	11.1K	4.5M	179K	33.2M	1.3M	449.9 K	11.8 M
bus	467	322	21.4K	12.1K	418.4K	219.2K	2.1M	1.1M	428.8 K	830.9 K
mfe	7.5K	320	198.8K	18.2K	4.6M	374.8K	26.9M	2.1M	716.4 K	10.1 M
sda	1.6K	317	43.2K	6.2K	2.5M	218.3K	15.8M	1.6M	529.0 K	4.7 M
bi	71.9K	311	308.5K	13.6K	19.4M	359.4K	132.4M	1.9M	546.9 K	42.6 M
cr_Latn	19K	303	170K	8.9K	19K	303	81.8K	1K	590.4 K	15.0 M
gor	1.7K	303	53.3K	6.5K	1.4M	227.1K	9.4M	1.7M	494.0 K	3.1 M
jac	8.2K	303	61.6K	11.9K	1.8M	271K	15.7M	1.7M	530.3 K	7.3 M
chr	964	301	33.8K	7.5K	629.9K	172.3K	4.7M	1M	564.1 K	2.1 M
mh	4.6K	296	235.1K	13K	3.6M	393.5K	24.9M	2.2M	778.4 K	8.4 M
mni	1.2K	290	38.1K	13.2K	841.3K	245.5K	6.4M	1.8M	866.6 K	3.0 M
wal	2.6K	286	128K	14K	2M	203.4K	17M	1.7M	525.7 K	5.1 M
teo	2.8K	274	131.5K	13.7K	2.3M	221.4K	15.3M	1.6M	564.9 K	5.3 M
gub	31.7K	271	160.4K	25K	4.7M	286.2K	44.7M	1.6M	431.3 K	23.1 M
qvi	1.2K	266	48.4K	19.3K	720.4K	248.9K	6.5M	2.3M	641.2 K	1.9 M
tdx	1.7K	262	26.3K	13.2K	1M	238.5K	7M	1.6M	503.6 K	2.1 M
rki	331	251	331	7.8K	119.7K	113.7K	1.6M	1.5M	751.3 K	781.8 K
djk	560	246	30.9K	24.4K	669.5K	455.6K	3.7M	2.2M	644.3 K	1.0 M
nr	10.7K	246	10.7K	11.3K	5.3M	162.5K	49M	1.5M	519.7 K	17.8 M
zne	1.3K	239	61.9K	21.3K	1.4M	504.6K	8.2M	2.8M	882.3 K	2.8 M
izz	423	237	21.7K	14.5K	382.8K	194.5K	2.1M	1.1M	382.2 K	789.9 K
noa	902	234	902	11.5K	821.1K	243.9K	5.2M	1.6M	534.3 K	1.7 M
bqc	275	228	9.8K	8.2K	193K	151.7K	997K	788.4K	317.0 K	408.1 K
srm	847	227	847	17.3K	1.2M	445.3K	6.3M	2M	613.4 K	1.7 M
niq	26.7K	226	26.7K	4.2K	9.9M	103.4K	72.1M	716.2K	239.1 K	20.9 M
bas	4.2K	216	105.2K	14.9K	4.3M	362.8K	25.7M	1.7M	600.7 K	7.6 M
dwr	452	215	22.1K	11.1K	269.4K	139.5K	2.2M	1.2M	375.4 K	747.6 K
guc	537	214	22.9K	12.5K	422.4K	218.1K	3.4M	1.8M	540.1 K	1.1 M
jvn	1K	213	36.2K	7.8K	790.5K	185.6K	5.3M	1.2M	357.2 K	1.7 M
hvn	737	200	33.9K	7K	779.7K	239.4K	4.3M	1.2M	378.5 K	1.4 M
sxn	587	197	587	9.9K	494K	220.6K	3.4M	1.5M	507.1 K	1.2 M
koi	20.7K	196	153.9K	5K	2.2M	89.9K	17.1M	664.5K	323.0 K	7.1 M
alz	2.2K	195	59.3K	12.2K	1.3M	246.9K	7.9M	1.4M	488.1 K	2.9 M
nyu	1.2K	195	1.2K	11K	988.7K	210.5K	7.7M	1.6M	492.6 K	2.2 M
bn_Latn	98.7K	191	1.3M	12K	98.7K	191	458K	730	314.7 K	81.0 M
suz	226	186	226	11.3K	169.6K	140.5K	1M	855.2K	339.5 K	429.6 K
pau	1.7K	185	1.7K	13.1K	2M	394.6K	12.4M	2M	600.1 K	3.2 M
nij	1K	183	1K	9.2K	741.6K	186.1K	4.7M	1.2M	389.6 K	1.6 M
sat_Latn	39K	183	39K	5.5K	39K	183	183.8K	601	276.1 K	39.2 M
gu_Latn	58.2K	179	688.4K	5.4K	58.2K	179	260.8K	673	241.0 K	47.9 M
msm	520	177	520	8.6K	410.8K	190.5K	2.5M	1.1M	339.7 K	789.8 K
maz	585	170	21.3K	8.2K	452.9K	174K	2.9M	951.7K	304.7 K	971.4 K
qxr	2.6K	153	40.8K	6.4K	761.5K	75.4K	6.6M	724K	186.4 K	1.9 M
shp	874	150	22.4K	3.7K	534.1K	96.8K	3.8M	710.4K	216.9 K	1.2 M
hne	3K	146	118.4K	4.3K	2.3M	139.3K	12M	697K	379.3 K	6.5 M
ktu	3.3K	144	115.5K	7.8K	3.2M	196.9K	18.5M	1.1M	300.1 K	5.4 M
laj	6.5K	144	61K	6.4K	2.4M	140.1K	15.8M	730.5K	233.5 K	4.6 M
pis	1.1K	139	62K	7.2K	1.3M	136.8K	7.7M	764K	212.7 K	2.2 M
mag	631	138	62.6K	22.1K	2.1M	544.2K	10.7M	2.6M	1.4 M	5.4 M
gbm	2.5K	137	50.8K	3.8K	1.7M	99.7K	9.1M	499.6K	282.4 K	4.5 M
tzj	471	136	11.1K	7.3K	299.9K	150.8K	1.9M	884.2K	272.0 K	663.9 K
oj	2.5K	135	2.5K	1.6K	1.2M	35.9K	9.6M	337.1K	117.6 K	3.4 M
ndc_ZW	2.2K	132	2.2K	8.7K	2.2K	132	9.1K	523	343.1 K	2.2 M
tks	63.7K	127	63.7K	6.8K	17.1M	41.5K	88.9M	260.8K	39.5 K	33.0 M
awa	5.8K	126	100.1K	8.4K	2.2M	98.7K	11.1M	475K	226.6 K	5.8 M
gvl	37.9K	126	213K	6.9K	21.1M	161.1K	141M	789.2K	257.8 K	31.7 M
knj	229	126	10.1K	9.2K	202.6K	171.8K	1.1M	855K	253.1 K	345.4 K
spp	733	123	733	5.8K	902.7K	141.8K	4.4M	682.5K	217.8 K	1.4 M
mqy	69.3K	119	309K	2.5K	12.1M	88.6K	78.9M	506.5K	170.4 K	16.3 M
tca	410	117	20K	7.3K	283K	121.5K	2.3M	786K	226.2 K	781.2 K
cce	847	116	23.2K	11K	539.3K	227.2K	3.3M	1.3M	393.8 K	1.1 M
skr	3.8K	107	279.3K	17.1K	6.2M	324K	32.2M	1.7M	768.5 K	15.4 M
kmz_Latn	24K	106	361K	2.4K	24K	106	108.6K	401	231.8 K	16.7 M
dje	913	100	40.2K	3.7K	816.3K	97.5K	4.7M	480.7K	161.2 K	1.5 M
gof	2.8K	97	33.8K	5.5K	703K	68.8K	5.5M	506K	159.1 K	1.7 M
agr	465	93	16.1K	3.6K	295.4K	67.2K	2.3M	554.5K	177.0 K	760.1 K
qvz	534	88	6.8K	3.5K	145.5K	50.5K	1.2M	438.3K	124.2 K	382.7 K
adh	2.6K	87	107.2K	1K	2.4M	42.1K	14.5M	254.9K	84.6 K	5.0 M
quf	522	86	8.4K	5.2K	155.7K	61.8K	1.5M	609K	173.7 K	542.8 K
kjg	113	84	3K	2.9K	67.6K	67K	408.5K	399K	159.2 K	167.7 K
tsc	12.6K	82	12.6K	4K	3.5M	93.1K	23.4M	521.3K	161.9 K	7.0 M
ber	2.7K	79	12.6K	1.2K	1.1M	46.4K	6.4M	265.9K	141.5 K	3.0 M
ify	611	79	19.8K	2.8K	422.7K	56.2K	2.6M	334K	109.5 K	913.1 K
cbk	10.1K	78	43.8K	2K	1.7M	64.3K	10.3M	339.3K	93.4 K	3.4 M
quy	588	78	28.1K	2.7K	423.3K	37.3K	4.5M	368.2K	114.5 K	1.2 M
ahk	244	77	6.2K	4.1K	264K	124.8K	1.3M	715.5K	182.8 K	359.7 K
cac	212	77	3.4K	1.8K	125.7K	54.1K	978.7K	319.8K	95.8 K	280.3 K
akb	1K	71	21.3K	408	870.9K	54.5K	5.2M	337.8K	93.7 K	1.6 M
nut	29K	67	29K	1.5K	4.8M	39.8K	23.5M	184.1K	36.4 K	8.3 M
ffm	1.8K	65	30.1K	2K	745.6K	39.1K	4.6M	236.1K	83.8 K	1.8 M
taj	146	65	21.6K	14.3K	309.7K	203K	2.3M	1.4M	503.0 K	872.7 K
ms_Arab	698	63	698	320	698	63	2.9K	239	64.7 K	1016.0 K
brx	322	62	5.3K	2.4K	144.2K	41K	1.1M	304.4K	146.6 K	515.7 K
ann	464	56	5K	1.6K	116.4K	35.9K	760.9K	215.1K	74.9 K	295.2 K
qup	169	53	4.3K	2.5K	77.5K	31.3K	763.8K	297.8K	74.7 K	207.3 K
ms_Arab_BN	2.6K	46	2.6K	374	2.6K	46	10.5K	171	50.0 K	5.1 M
miq	236	45	6.4K	3.5K	183.7K	80.2K	1.2M	485.6K	157.6 K	384.1 K
msb	811	41	811	1K	705.9K	28.8K	4.4M	167.5K	53.3 K	1.7 M
bim	410	40	31.1K	6.3K	669.8K	167.4K	3.2M	793.4K	252.7 K	1.1 M
raj	1.8K	40	1.8K	5.7K	1.3M	81.1K	7.1M	405K	226.2 K	3.9 M
kwi	382	37	16.9K	2.2K	253.8K	23.4K	1.8M	172.8K	47.6 K	536.2 K
tll	200	37	200	2.7K	304.2K	62.2K	2.2M	409.8K	132.3 K	664.5 K
trp	12.8K	36	12.8K	1.7K	4.1M	39K	29.9M	257.3K	87.5 K	10.2 M
smt	1.4K	34	1.4K	703	1M	36.5K	6.8M	245.4K	87.9 K	2.5 M
mrw	11.3K	29	11.3K	1K	4.2M	45.7K	27.8M	257.2K	81.3 K	8.8 M
dln	236	28	5.2K	969	150.8K	21.5K	860.5K	118.3K	36.8 K	280.3 K
qvc	3.4K	27	14.6K	2.2K	495.7K	25.7K	5M	233.7K	65.3 K	2.6 M
doi	1.7K	26	21.8K	975	568.7K	25.5K	3.2M	135.3K	66.7 K	1.6 M
ff	13.6K	26	150K	5K	3.4M	46.5K	22.8M	277.6K	78.8 K	8.5 M
